obs_no,Date_Time,Temp_C,RH_pc,Pressure_mbar,Rain_mm,PAR_µmol,DewPt_C
264,5/3/2021 4:30,8.17,87.6,1019.45,0.2,1.2,6.2
265,5/3/2021 5:00,8.095,88.3,1019.35,0,1.2,6.3
266,5/3/2021 5:30,7.995,88.7,1019.65,0.2,1.2,6.3
267,5/3/2021 6:00,7.945,89.7,1019.45,0,1.2,6.4
268,5/3/2021 6:30,7.87,90.5,1019.35,0,16.2,6.4
269,5/3/2021 7:00,7.795,92.2,1019.35,0.2,16.2,6.6
270,5/3/2021 7:30,7.82,93.1,1019.15,0,28.7,6.8
271,5/3/2021 8:00,7.97,93.4,1018.95,0.2,73.7,7
272,5/3/2021 8:30,8.07,93.8,1019.05,0,83.7,7.1
273,5/3/2021 9:00,8.369,94.1,1018.95,0.4,126.2,7.5
274,5/3/2021 9:30,8.369,94.4,1018.95,0.2,136.2,7.5
275,5/3/2021 10:00,8.767,94.8,1018.85,0.6,128.7,8
276,5/3/2021 10:30,10.443,94.9,1018.45,0.4,311.2,9.7
277,5/3/2021 11:00,10.883,94.5,1018.55,0.2,248.7,10
278,5/3/2021 11:30,10.638,94,1018.45,0,363.7,9.7
279,5/3/2021 12:00,10.124,93.7,1018.45,0,348.7,9.2
280,5/3/2021 12:30,10.345,94.2,1018.35,0.2,466.2,9.5
281,5/3/2021 13:00,10.638,94.3,1018.25,0.2,368.7,9.8
282,5/3/2021 13:30,10.418,93.9,1018.25,0.4,371.2,9.5
283,5/3/2021 14:00,9.854,94,1018.35,0.4,331.2,8.9
284,5/3/2021 14:30,10.296,94.4,1018.25,0.8,296.2,9.4
285,5/3/2021 15:00,10.026,94.1,1018.05,0.2,241.2,9.1
286,5/3/2021 15:30,12.05,94.9,1018.05,0.2,386.2,11.3
287,5/3/2021 16:00,12.63,95,1017.95,0.4,513.7,11.9
288,5/3/2021 16:30,11.71,95,1017.95,0,223.7,10.9
289,5/3/2021 17:00,11.516,95.8,1018.15,0,338.7,10.9
290,5/3/2021 17:30,11.71,95.9,1018.25,0.2,198.7,11.1
291,5/3/2021 18:00,11.127,95,1018.45,0,198.7,10.4
292,5/3/2021 18:30,10.687,95.1,1018.25,0,333.7,9.9
293,5/3/2021 19:00,10.296,95.7,1018.55,0,206.2,9.7
294,5/3/2021 19:30,9.706,95.7,1018.55,0,68.7,9.1
295,5/3/2021 20:00,9.632,95.8,1018.75,0,43.7,9
296,5/3/2021 20:30,9.78,95.5,1019.05,0,3.7,9.1
297,5/3/2021 21:00,9.682,95.4,1019.15,0,1.2,9
298,5/3/2021 21:30,9.756,95.2,1019.35,0,1.2,9
299,5/3/2021 22:00,9.829,95,1019.55,0,1.2,9.1
300,5/3/2021 22:30,9.706,95.3,1019.65,0,1.2,9
301,5/3/2021 23:00,9.46,95.3,1019.65,0,1.2,8.8
302,5/3/2021 23:30,9.312,94.9,1019.55,0,1.2,8.5
303,5/4/2021 0:00,9.262,94.8,1019.65,0,1.2,8.5
304,5/4/2021 0:30,9.139,93.6,1019.65,0,1.2,8.2
305,5/4/2021 1:00,8.866,93.1,1019.95,0,1.2,7.8
306,5/4/2021 1:30,8.767,93,1020.35,0,1.2,7.7
307,5/4/2021 2:00,8.643,93,1020.55,0,1.2,7.6
308,5/4/2021 2:30,8.643,93,1020.55,0,1.2,7.6
309,5/4/2021 3:00,8.693,93.1,1020.55,0,1.2,7.6
310,5/4/2021 3:30,8.543,93.2,1020.45,0,1.2,7.5
311,5/4/2021 4:00,8.717,93,1020.65,0,1.2,7.7
312,5/4/2021 4:30,8.668,92.5,1020.75,0,1.2,7.5
